Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
8.401886E+2,-3.606363E+1,-4.695782E+1
8.403492E+2,-3.601020E+1,-4.707323E+1
8.414767E+2,-3.630479E+1,-4.713062E+1
8.406700E+2,-3.619550E+1,-4.729469E+1
8.406711E+2,-3.578498E+1,-4.721585E+1
8.392192E+2,-3.590670E+1,-4.750353E+1
8.403480E+2,-3.620940E+1,-4.716301E+1
8.398638E+2,-3.567384E+1,-4.787608E+1
8.411540E+2,-3.601572E+1,-4.739586E+1
8.414761E+2,-3.610130E+1,-4.737561E+1
8.392175E+2,-3.630501E+1,-4.791319E+1
8.392184E+2,-3.638605E+1,-4.750949E+1
8.397003E+2,-3.632584E+1,-4.801369E+1
8.387313E+2,-3.656046E+1,-4.838099E+1
8.390563E+2,-3.623330E+1,-4.779904E+1
8.384117E+2,-3.598033E+1,-4.799965E+1
8.384116E+2,-3.606325E+1,-4.791302E+1
8.376029E+2,-3.614423E+1,-4.865613E+1
8.385712E+2,-3.610443E+1,-4.844221E+1
8.372816E+2,-3.605815E+1,-4.835325E+1
8.358289E+2,-3.657268E+1,-4.855529E+1
8.363126E+2,-3.649363E+1,-4.856950E+1
8.355048E+2,-3.688791E+1,-4.880772E+1
8.343777E+2,-3.647460E+1,-4.876192E+1
8.351833E+2,-3.679072E+1,-4.868182E+1
8.359873E+2,-3.691083E+1,-4.915358E+1
8.353436E+2,-3.683001E+1,-4.896195E+1
8.335706E+2,-3.645018E+1,-4.910121E+1
8.345377E+2,-3.640013E+1,-4.921032E+1
8.342155E+2,-3.681071E+1,-4.882145E+1
8.321176E+2,-3.715586E+1,-4.923931E+1
8.327635E+2,-3.693904E+1,-4.911034E+1
8.329238E+2,-3.686591E+1,-4.930573E+1
8.327624E+2,-3.702817E+1,-4.935424E+1
8.324398E+2,-3.682773E+1,-4.953613E+1
8.332456E+2,-3.673750E+1,-4.961939E+1
8.316331E+2,-3.699579E+1,-4.954924E+1
8.313124E+2,-3.670760E+1,-4.924643E+1
8.303429E+2,-3.714338E+1,-4.971788E+1
8.287301E+2,-3.691220E+1,-5.005423E+1
8.296972E+2,-3.696414E+1,-4.999363E+1
8.290520E+2,-3.697785E+1,-5.012020E+1
8.303428E+2,-3.703439E+1,-4.970990E+1
8.285679E+2,-3.714732E+1,-5.002283E+1
8.287299E+2,-3.688918E+1,-5.005219E+1
8.279226E+2,-3.686879E+1,-5.046539E+1
8.276008E+2,-3.717203E+1,-4.999015E+1
8.280837E+2,-3.699810E+1,-5.034235E+1
8.266346E+2,-3.700552E+1,-4.989094E+1
8.285681E+2,-3.680350E+1,-5.018820E+1
8.253440E+2,-3.694861E+1,-5.021154E+1
8.251807E+2,-3.729785E+1,-5.051426E+1
8.261495E+2,-3.683834E+1,-5.038257E+1
8.266317E+2,-3.726568E+1,-5.055219E+1
8.251804E+2,-3.728072E+1,-5.067470E+1
8.240525E+2,-3.707753E+1,-5.063063E+1
8.251818E+2,-3.695650E+1,-5.043410E+1
8.230848E+2,-3.699633E+1,-5.076484E+1
8.234064E+2,-3.739098E+1,-5.065282E+1
8.232440E+2,-3.743769E+1,-5.103500E+1
8.232463E+2,-3.703617E+1,-5.061399E+1
8.214729E+2,-3.674392E+1,-5.093765E+1
8.225992E+2,-3.755965E+1,-5.090468E+1
8.214700E+2,-3.744300E+1,-5.125965E+1
8.211486E+2,-3.724381E+1,-5.103999E+1
8.208264E+2,-3.734745E+1,-5.097583E+1
8.209882E+2,-3.708668E+1,-5.101096E+1
8.198594E+2,-3.677015E+1,-5.128008E+1
8.201815E+2,-3.705686E+1,-5.126976E+1
8.190510E+2,-3.724976E+1,-5.161623E+1
8.167952E+2,-3.714445E+1,-5.143755E+1
8.176022E+2,-3.694429E+1,-5.133762E+1
8.166336E+2,-3.697997E+1,-5.156021E+1
8.164736E+2,-3.713809E+1,-5.119746E+1
8.164737E+2,-3.683140E+1,-5.129177E+1
8.142146E+2,-3.764184E+1,-5.142681E+1
8.155049E+2,-3.727118E+1,-5.143000E+1
8.153441E+2,-3.712255E+1,-5.147801E+1
8.127628E+2,-3.734211E+1,-5.188600E+1
8.142148E+2,-3.700816E+1,-5.183495E+1
8.119570E+2,-3.741589E+1,-5.189824E+1
8.116349E+2,-3.712616E+1,-5.184095E+1
8.100219E+2,-3.730754E+1,-5.185070E+1
8.109878E+2,-3.776656E+1,-5.203753E+1
8.101820E+2,-3.723148E+1,-5.255167E+1
