Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
8.019362E+2,-9.599547E+1,-1.337928E+1
8.025795E+2,-9.643265E+1,-1.343272E+1
8.009672E+2,-9.673609E+1,-1.337971E+1
8.004827E+2,-9.652849E+1,-1.376247E+1
8.024188E+2,-9.617888E+1,-1.348562E+1
8.011296E+2,-9.612654E+1,-1.334836E+1
8.004840E+2,-9.641174E+1,-1.336119E+1
8.025789E+2,-9.620601E+1,-1.387856E+1
8.019357E+2,-9.586525E+1,-1.363068E+1
8.009659E+2,-9.670030E+1,-1.372961E+1
8.006443E+2,-9.652775E+1,-1.356597E+1
7.995148E+2,-9.661993E+1,-1.388794E+1
8.006455E+2,-9.620941E+1,-1.339278E+1
7.996783E+2,-9.620158E+1,-1.340734E+1
8.001609E+2,-9.641084E+1,-1.343907E+1
8.006464E+2,-9.588531E+1,-1.338693E+1
8.001607E+2,-9.651997E+1,-1.351798E+1
8.011309E+2,-9.586829E+1,-1.325434E+1
7.996777E+2,-9.681911E+1,-1.313926E+1
8.004830E+2,-9.665298E+1,-1.343977E+1
8.004840E+2,-9.634480E+1,-1.343205E+1
8.001621E+2,-9.636990E+1,-1.326233E+1
8.000001E+2,-9.643348E+1,-1.331298E+1
8.004827E+2,-9.673201E+1,-1.341579E+1
8.009674E+2,-9.650866E+1,-1.329089E+1
8.003228E+2,-9.647991E+1,-1.331177E+1
7.991927E+2,-9.698172E+1,-1.336106E+1
8.000001E+2,-9.630297E+1,-1.338771E+1
8.008061E+2,-9.655502E+1,-1.333405E+1
8.001606E+2,-9.652026E+1,-1.360288E+1
8.003237E+2,-9.633158E+1,-1.302805E+1
8.001621E+2,-9.619174E+1,-1.326212E+1
8.014520E+2,-9.634865E+1,-1.306358E+1
8.006458E+2,-9.637997E+1,-1.320012E+1
7.996784E+2,-9.648878E+1,-1.312947E+1
8.000012E+2,-9.612338E+1,-1.330145E+1
7.993551E+2,-9.641870E+1,-1.339084E+1
7.993558E+2,-9.640875E+1,-1.312463E+1
7.996799E+2,-9.636583E+1,-1.261509E+1
7.998395E+2,-9.650777E+1,-1.308234E+1
7.988724E+2,-9.629007E+1,-1.318314E+1
7.988724E+2,-9.650001E+1,-1.300356E+1
7.985494E+2,-9.663624E+1,-1.310175E+1
7.985500E+2,-9.643039E+1,-1.317881E+1
7.983887E+2,-9.659160E+1,-1.305817E+1
7.987126E+2,-9.622945E+1,-1.279642E+1
7.970981E+2,-9.642841E+1,-1.342332E+1
7.974229E+2,-9.638181E+1,-1.282166E+1
7.988734E+2,-9.603053E+1,-1.301757E+1
7.980664E+2,-9.628349E+1,-1.314026E+1
7.969392E+2,-9.636558E+1,-1.269771E+1
7.977445E+2,-9.662629E+1,-1.281022E+1
7.951642E+2,-9.663566E+1,-1.302641E+1
7.974234E+2,-9.602834E+1,-1.282548E+1
7.964558E+2,-9.636175E+1,-1.266709E+1
7.979075E+2,-9.623064E+1,-1.242145E+1
7.961341E+2,-9.628541E+1,-1.242287E+1
7.959730E+2,-9.625458E+1,-1.255338E+1
7.953276E+2,-9.633073E+1,-1.263876E+1
7.962938E+2,-9.608847E+1,-1.321880E+1
7.961349E+2,-9.605701E+1,-1.242116E+1
7.962935E+2,-9.683368E+1,-1.271229E+1
7.946830E+2,-9.617390E+1,-1.257578E+1
7.958130E+2,-9.588163E+1,-1.251968E+1
7.937159E+2,-9.638945E+1,-1.251229E+1
7.954896E+2,-9.602789E+1,-1.269696E+1
7.966182E+2,-9.625765E+1,-1.230170E+1
7.951688E+2,-9.594923E+1,-1.210572E+1
7.958132E+2,-9.556119E+1,-1.260857E+1
7.956510E+2,-9.593775E+1,-1.265975E+1
7.948459E+2,-9.555835E+1,-1.261611E+1
7.951685E+2,-9.573226E+1,-1.236121E+1
7.964577E+2,-9.578343E+1,-1.244786E+1
7.956521E+2,-9.592561E+1,-1.224390E+1
7.958152E+2,-9.542420E+1,-1.211811E+1
7.972656E+2,-9.563249E+1,-1.221135E+1
7.950085E+2,-9.537304E+1,-1.243085E+1
7.935569E+2,-9.580794E+1,-1.232574E+1
7.953313E+2,-9.532209E+1,-1.226323E+1
7.938785E+2,-9.618325E+1,-1.215361E+1
7.946865E+2,-9.528824E+1,-1.235670E+1
7.948481E+2,-9.564208E+1,-1.187931E+1
7.975888E+2,-9.525004E+1,-1.205611E+1
7.948474E+2,-9.542539E+1,-1.240492E+1
7.964601E+2,-9.533691E+1,-1.221123E+1
7.953312E+2,-9.561846E+1,-1.201558E+1
7.956543E+2,-9.528113E+1,-1.201455E+1
7.971061E+2,-9.483630E+1,-1.203893E+1
7.948486E+2,-9.530517E+1,-1.182181E+1
7.969453E+2,-9.480907E+1,-1.200707E+1
7.954932E+2,-9.492558E+1,-1.231718E+1
7.966231E+2,-9.483978E+1,-1.201019E+1
7.961397E+2,-9.463805E+1,-1.206605E+1
7.959780E+2,-9.459430E+1,-1.211481E+1
7.956558E+2,-9.484576E+1,-1.194568E+1
7.963010E+2,-9.467947E+1,-1.202306E+1
7.950123E+2,-9.473200E+1,-1.169613E+1
7.975920E+2,-9.450819E+1,-1.166168E+1
7.964630E+2,-9.460185E+1,-1.190720E+1
7.959794E+2,-9.471760E+1,-1.161427E+1
7.953368E+2,-9.435893E+1,-1.120417E+1
7.963020E+2,-9.436351E+1,-1.194804E+1
7.961429E+2,-9.378320E+1,-1.163874E+1
7.948505E+2,-9.449120E+1,-1.202062E+1
7.959808E+2,-9.441001E+1,-1.160076E+1
7.953371E+2,-9.406451E+1,-1.137258E+1
7.967874E+2,-9.373897E+1,-1.182515E+1
7.963033E+2,-9.405133E+1,-1.171077E+1
7.961441E+2,-9.393224E+1,-1.115619E+1
7.964652E+2,-9.408894E+1,-1.150378E+1
7.961426E+2,-9.412904E+1,-1.150643E+1
7.967885E+2,-9.384420E+1,-1.141408E+1
7.972723E+2,-9.341510E+1,-1.170256E+1
7.964659E+2,-9.377892E+1,-1.148976E+1
7.967903E+2,-9.342496E+1,-1.106000E+1
7.971122E+2,-9.329596E+1,-1.139947E+1
7.964659E+2,-9.399156E+1,-1.132762E+1
7.964693E+2,-9.293496E+1,-1.124925E+1
7.961451E+2,-9.340154E+1,-1.124533E+1
7.963078E+2,-9.290675E+1,-1.120266E+1
7.956628E+2,-9.298824E+1,-1.121386E+1
7.961472E+2,-9.288121E+1,-1.116472E+1
7.969539E+2,-9.284135E+1,-1.085349E+1
7.955008E+2,-9.306203E+1,-1.151838E+1
7.953414E+2,-9.282686E+1,-1.095890E+1
7.956649E+2,-9.269208E+1,-1.086759E+1
7.955035E+2,-9.232967E+1,-1.108455E+1
7.946984E+2,-9.249240E+1,-1.070250E+1
7.964717E+2,-9.202083E+1,-1.115020E+1
7.961489E+2,-9.227272E+1,-1.099439E+1
7.943761E+2,-9.211565E+1,-1.096478E+1
7.956660E+2,-9.186437E+1,-1.104174E+1
7.948613E+2,-9.189748E+1,-1.074120E+1
7.948597E+2,-9.191143E+1,-1.125647E+1
7.951840E+2,-9.165931E+1,-1.090937E+1
7.942161E+2,-9.199229E+1,-1.083939E+1
7.937328E+2,-9.147110E+1,-1.105939E+1
7.943770E+2,-9.181518E+1,-1.104431E+1
7.943784E+2,-9.150824E+1,-1.078644E+1
7.945397E+2,-9.143285E+1,-1.082687E+1
7.938948E+2,-9.161691E+1,-1.064904E+1
7.940569E+2,-9.134027E+1,-1.061839E+1
7.937340E+2,-9.150294E+1,-1.062262E+1
7.943809E+2,-9.067728E+1,-1.050654E+1
7.930895E+2,-9.113853E+1,-1.079824E+1
7.927688E+2,-9.056283E+1,-1.071135E+1
7.934126E+2,-9.132091E+1,-1.044433E+1
7.921214E+2,-9.115414E+1,-1.106007E+1
7.935734E+2,-9.062308E+1,-1.105612E+1
7.929293E+2,-9.049545E+1,-1.098597E+1
7.918024E+2,-9.046200E+1,-1.052752E+1
7.916407E+2,-8.989967E+1,-1.110190E+1
7.909960E+2,-9.007723E+1,-1.092984E+1
7.911566E+2,-9.021975E+1,-1.097023E+1
7.909960E+2,-8.998938E+1,-1.107912E+1
7.903503E+2,-9.016702E+1,-1.117789E+1
7.895454E+2,-8.999155E+1,-1.089112E+1
7.905126E+2,-9.009135E+1,-1.078381E+1
7.911583E+2,-8.981808E+1,-1.087091E+1
7.892236E+2,-8.982011E+1,-1.090192E+1
7.911583E+2,-8.981808E+1,-1.087091E+1
7.892236E+2,-8.982011E+1,-1.090192E+1
7.900298E+2,-8.968712E+1,-1.093340E+1
7.898690E+2,-8.944812E+1,-1.105844E+1
7.901912E+2,-8.931138E+1,-1.122128E+1
7.893863E+2,-8.913705E+1,-1.092442E+1
7.884182E+2,-8.869859E+1,-1.154345E+1
7.903541E+2,-8.849504E+1,-1.126177E+1
7.901930E+2,-8.856430E+1,-1.122538E+1
7.895474E+2,-8.906956E+1,-1.097301E+1
7.880980E+2,-8.843581E+1,-1.104474E+1
7.906787E+2,-8.815492E+1,-1.091481E+1
7.895491E+2,-8.824014E+1,-1.123488E+1
7.898719E+2,-8.777506E+1,-1.140160E+1
7.897096E+2,-8.848761E+1,-1.127734E+1
7.880981E+2,-8.790988E+1,-1.147266E+1
7.898743E+2,-8.725397E+1,-1.096474E+1
7.897116E+2,-8.732703E+1,-1.144485E+1
7.900359E+2,-8.708720E+1,-1.110749E+1
7.898739E+2,-8.704356E+1,-1.122397E+1
7.889063E+2,-8.724918E+1,-1.132409E+1
7.887455E+2,-8.689063E+1,-1.137726E+1
7.903563E+2,-8.713545E+1,-1.160671E+1
7.895532E+2,-8.653625E+1,-1.114312E+1
7.905188E+2,-8.686261E+1,-1.148204E+1
7.900347E+2,-8.674438E+1,-1.160949E+1
7.901969E+2,-8.646517E+1,-1.147443E+1
7.890685E+2,-8.633150E+1,-1.163614E+1
7.911638E+2,-8.604507E+1,-1.188420E+1
7.906816E+2,-8.573081E+1,-1.178150E+1
7.893940E+2,-8.555460E+1,-1.127627E+1
7.905214E+2,-8.558897E+1,-1.147379E+1
7.906815E+2,-8.540248E+1,-1.203035E+1
7.901985E+2,-8.539787E+1,-1.182363E+1
7.914879E+2,-8.527249E+1,-1.206692E+1
7.905210E+2,-8.484823E+1,-1.216530E+1
7.911667E+2,-8.499330E+1,-1.190677E+1
7.898775E+2,-8.493214E+1,-1.182673E+1
7.898763E+2,-8.491576E+1,-1.210380E+1
7.911671E+2,-8.446104E+1,-1.216152E+1
7.906811E+2,-8.501591E+1,-1.238486E+1
7.905222E+2,-8.422157E+1,-1.225904E+1
7.910048E+2,-8.475539E+1,-1.230245E+1
7.908444E+2,-8.419115E+1,-1.233560E+1
7.911694E+2,-8.340880E+1,-1.216155E+1
7.921352E+2,-8.364436E+1,-1.248040E+1
7.921350E+2,-8.352830E+1,-1.258391E+1
7.913278E+2,-8.346451E+1,-1.297189E+1
7.911682E+2,-8.352671E+1,-1.244237E+1
7.921355E+2,-8.290298E+1,-1.293001E+1
7.918131E+2,-8.303485E+1,-1.286193E+1
7.913306E+2,-8.282297E+1,-1.273768E+1
7.910079E+2,-8.265668E+1,-1.292223E+1
7.927817E+2,-8.241835E+1,-1.291554E+1
7.911682E+2,-8.258061E+1,-1.320895E+1
7.921372E+2,-8.216957E+1,-1.285642E+1
7.924601E+2,-8.191473E+1,-1.301639E+1
7.919747E+2,-8.224373E+1,-1.340732E+1
7.929434E+2,-8.224055E+1,-1.282061E+1
7.932658E+2,-8.180243E+1,-1.330193E+1
7.921382E+2,-8.133267E+1,-1.328226E+1
7.922996E+2,-8.116335E+1,-1.342186E+1
7.926221E+2,-8.112429E+1,-1.340434E+1
7.921384E+2,-8.114531E+1,-1.353913E+1
7.922996E+2,-8.106347E+1,-1.349129E+1
7.910081E+2,-8.141003E+1,-1.377436E+1
7.924613E+2,-8.088403E+1,-1.335414E+1
7.929446E+2,-8.047645E+1,-1.389531E+1
7.923004E+2,-8.012457E+1,-1.390064E+1
7.911701E+2,-8.082605E+1,-1.388369E+1
7.926235E+2,-8.010551E+1,-1.356281E+1
7.929449E+2,-7.996165E+1,-1.424112E+1
7.923013E+2,-7.982504E+1,-1.389876E+1
7.916559E+2,-7.957434E+1,-1.426045E+1
7.918171E+2,-7.993069E+1,-1.386033E+1
7.929461E+2,-7.945044E+1,-1.414349E+1
7.908494E+2,-7.982661E+1,-1.412838E+1
7.911735E+2,-7.874615E+1,-1.456715E+1
7.914939E+2,-7.965542E+1,-1.436140E+1
7.929473E+2,-7.883572E+1,-1.420681E+1
7.924620E+2,-7.926444E+1,-1.442925E+1
7.926238E+2,-7.907779E+1,-1.446325E+1
7.927856E+2,-7.870122E+1,-1.450889E+1
7.924625E+2,-7.874722E+1,-1.467771E+1
7.919785E+2,-7.884412E+1,-1.462971E+1
7.921410E+2,-7.834175E+1,-1.467571E+1
7.919800E+2,-7.843671E+1,-1.455649E+1
7.923040E+2,-7.806712E+1,-1.426992E+1
7.911747E+2,-7.803183E+1,-1.459625E+1
7.919803E+2,-7.810509E+1,-1.470957E+1
7.921422E+2,-7.794016E+1,-1.458818E+1
7.935928E+2,-7.806950E+1,-1.458788E+1
7.914990E+2,-7.748408E+1,-1.441109E+1
7.919829E+2,-7.707804E+1,-1.469767E+1
7.927886E+2,-7.738165E+1,-1.454219E+1
7.908541E+2,-7.703688E+1,-1.467370E+1
7.906929E+2,-7.711588E+1,-1.472374E+1
7.926274E+2,-7.692085E+1,-1.476258E+1
7.915016E+2,-7.636642E+1,-1.448882E+1
7.918225E+2,-7.643531E+1,-1.499014E+1
7.908552E+2,-7.686306E+1,-1.458025E+1
7.919838E+2,-7.649648E+1,-1.484855E+1
7.911768E+2,-7.673192E+1,-1.508814E+1
7.916636E+2,-7.621989E+1,-1.435143E+1
7.921478E+2,-7.548517E+1,-1.480305E+1
7.908571E+2,-7.573453E+1,-1.489887E+1
7.923071E+2,-7.586803E+1,-1.509899E+1
7.916625E+2,-7.572215E+1,-1.511145E+1
7.918250E+2,-7.543763E+1,-1.481280E+1
7.913431E+2,-7.489529E+1,-1.476143E+1
7.913406E+2,-7.533521E+1,-1.527289E+1
7.908583E+2,-7.490985E+1,-1.506801E+1
7.900526E+2,-7.472746E+1,-1.522258E+1
